Element Number	Bending Stress (MPa)
819	-0.51454
820	-0.52408
821	-0.52087
822	-0.52257
823	-0.5189
824	-0.51681
825	-0.52251
826	-0.5208
827	-0.52537
828	-0.52404
829	-0.52747
830	-0.52651
831	-0.52881
832	-0.52824
833	-0.52938
834	-0.52919
835	-0.52916
836	-0.52937
837	-0.52816
838	-0.52875
839	-0.52643
840	-0.52738
841	-0.52395
842	-0.52528
843	-0.52069
844	-0.52242
845	-0.51668
846	-0.5188
847	-0.51454
848	-0.51213
849	-0.51193
850	-0.51439
851	-0.51896
852	-0.51681
853	-0.52256
854	-0.52087
855	-0.52539
856	-0.52406
857	-0.52748
858	-0.52653
859	-0.52881
860	-0.52824
861	-0.52937
862	-0.52918
863	-0.52918
864	-0.52937
865	-0.52823
866	-0.5288
867	-0.52652
868	-0.52747
869	-0.52404
870	-0.52538
871	-0.52252
872	-0.51206
873	-0.51454
874	-0.51891
875	-0.51682
876	-0.52252
877	-0.52081
878	-0.52538
879	-0.52404
880	-0.52747
881	-0.52652
882	-0.5288
883	-0.52823
884	-0.52937
885	-0.52918
886	-0.52919
887	-0.52937
888	-0.52825
889	-0.52881
890	-0.52655
891	-0.5275
892	-0.52542
893	-0.51684
894	-0.51894
895	-0.51207
896	-0.51455
897	-0.50941
898	-0.5094
899	-0.50941
900	-0.50929
901	-0.51603
902	-0.51759
903	-0.51395
904	-0.50923
905	-0.50658
906	-0.50659
907	-0.51168
908	-0.50923
909	-0.51602
910	-0.51394
911	-0.51961
912	-0.51791
913	-0.52243
914	-0.52112
915	-0.52451
916	-0.52357
917	-0.52583
918	-0.52527
919	-0.52641
920	-0.52622
921	-0.52623
922	-0.52641
923	-0.52528
924	-0.52585
925	-0.52358
926	-0.52453
927	-0.52113
928	-0.52245
929	-0.51792
930	-0.51962
931	-0.51396
932	-0.51604
933	-0.50924
934	-0.51169
935	-0.52118
936	-0.51796
937	-0.51967
938	-0.50923
939	-0.50659
940	-0.50659
941	-0.50658
942	-0.51168
943	-0.50922
944	-0.51602
945	-0.51394
946	-0.51961
947	-0.51791
948	-0.52244
949	-0.52112
950	-0.52452
951	-0.52357
952	-0.52585
953	-0.52528
954	-0.52642
955	-0.52623
956	-0.5262
957	-0.5264
958	-0.52521
959	-0.52579
960	-0.52348
961	-0.52443
962	-0.52103
963	-0.52235
964	-0.51781
965	-0.51952
966	-0.51383
967	-0.51592
968	-0.5091
969	-0.51155
970	-0.50646
971	-0.50674
972	-0.51176
973	-0.50935
974	-0.51607
975	-0.514
976	-0.51965
977	-0.51796
978	-0.52248
979	-0.52117
980	-0.52453
981	-0.52359
982	-0.52585
983	-0.52528
984	-0.52641
