Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
498	-40.	1000.	0.	0.
499	-30.	1000.	0.	0.
500	-20.	1000.	0.	0.
501	-10.	1000.	0.	0.
502	6.6613e-013	1000.	0.	0.
503	10.	1000.	0.	0.
504	20.	1000.	0.	0.
505	30.	1000.	0.	0.
506	40.	1000.	0.	0.
507	50.	1000.	0.	0.
508	60.	1000.	0.	0.
509	70.	1000.	0.	0.
510	80.	1000.	0.	0.
511	90.	1000.	0.	0.
512	100.	1000.	0.	0.
513	110.	1000.	0.	0.
514	120.	1000.	0.	0.
515	130.	1000.	0.	0.
516	140.	1000.	0.	0.
517	150.	1000.	0.	0.
518	160.	1000.	0.	0.
519	170.	1000.	0.	0.
520	180.	1000.	0.	0.
521	190.	1000.	0.	0.
522	200.	1000.	0.	0.
523	210.	1000.	0.	0.
524	220.	1000.	0.	0.
525	230.	1000.	0.	0.
526	240.	1000.	0.	0.
527	250.	1000.	0.	0.
528	260.	1000.	0.	0.
529	270.	1000.	0.	0.
530	280.	1000.	0.	0.
531	290.	1000.	0.	0.
532	300.	1000.	0.	0.
533	310.	1000.	0.	0.
534	320.	1000.	0.	0.
535	330.	1000.	0.	0.
536	340.	1000.	0.	0.
537	350.	1000.	0.	0.
538	360.	1000.	0.	0.
539	370.	1000.	0.	0.
540	380.	1000.	0.	0.
541	390.	1000.	0.	0.
542	400.	1000.	0.	0.
543	410.	1000.	0.	0.
544	420.	1000.	0.	0.
545	430.	1000.	0.	0.
546	440.	1000.	0.	0.
547	450.	1000.	0.	0.
548	460.	1000.	0.	0.
549	470.	1000.	0.	0.
550	480.	1000.	0.	0.
551	490.	1000.	0.	0.
552	500.	1000.	0.	0.
553	510.	1000.	0.	0.
554	520.	1000.	0.	0.
555	530.	1000.	0.	0.
556	540.	1000.	0.	0.
557	550.	1000.	0.	0.
558	560.	1000.	0.	0.
559	570.	1000.	0.	0.
560	580.	1000.	0.	0.
561	590.	1000.	0.	0.
562	600.	1000.	0.	0.
563	610.	1000.	0.	0.
564	620.	1000.	0.	0.
565	630.	1000.	0.	0.
566	640.	1000.	0.	0.
567	650.	1000.	0.	0.
568	660.	1000.	0.	0.
569	670.	1000.	0.	0.
570	680.	1000.	0.	0.
571	690.	1000.	0.	0.
572	700.	1000.	0.	0.
573	710.	1000.	0.	0.
574	720.	1000.	0.	0.
575	730.	1000.	0.	0.
576	740.	1000.	0.	0.
577	750.	1000.	0.	0.
578	760.	1000.	0.	0.
579	770.	1000.	0.	0.
580	780.	1000.	0.	0.
581	790.	1000.	0.	0.
582	800.	1000.	0.	0.
583	810.	1000.	0.	0.
584	820.	1000.	0.	0.
585	830.	1000.	0.	0.
586	840.	1000.	0.	0.
587	850.	1000.	0.	0.
588	860.	1000.	0.	0.
589	870.	1000.	0.	0.
590	880.	1000.	0.	0.
591	890.	1000.	0.	0.
592	900.	1000.	0.	0.
593	910.	1000.	0.	0.
594	920.	1000.	0.	0.
595	930.	1000.	0.	0.
596	940.	1000.	0.	0.
597	950.	1000.	0.	0.
598	960.	1000.	0.	0.
599	970.	1000.	0.	0.
600	980.	1000.	0.	0.
601	990.	1000.	0.	0.
602	1000.	-990.	0.	0.
603	1000.	-980.	0.	0.
604	1000.	-970.	0.	0.
605	1000.	-960.	0.	0.
606	1000.	-950.	0.	0.
607	1000.	-940.	0.	0.
608	1000.	-930.	0.	0.
609	1000.	-920.	0.	0.
610	1000.	-910.	0.	0.
611	1000.	-900.	0.	0.
612	1000.	-890.	0.	0.
613	1000.	-880.	0.	0.
614	1000.	-870.	0.	0.
615	1000.	-860.	0.	0.
616	1000.	-850.	0.	0.
617	1000.	-840.	0.	0.
618	1000.	-830.	0.	0.
619	1000.	-820.	0.	0.
620	1000.	-810.	0.	0.
621	1000.	-800.	0.	0.
622	1000.	-790.	0.	0.
623	1000.	-780.	0.	0.
624	1000.	-770.	0.	0.
625	1000.	-760.	0.	0.
626	1000.	-750.	0.	0.
627	1000.	-740.	0.	0.
628	1000.	-730.	0.	0.
629	1000.	-720.	0.	0.
630	1000.	-710.	0.	0.
631	1000.	-700.	0.	0.
632	1000.	-690.	0.	0.
633	1000.	-680.	0.	0.
634	1000.	-670.	0.	0.
635	1000.	-660.	0.	0.
636	1000.	-650.	0.	0.
637	1000.	-640.	0.	0.
638	1000.	-630.	0.	0.
639	1000.	-620.	0.	0.
640	1000.	-610.	0.	0.
641	1000.	-600.	0.	0.
642	1000.	-590.	0.	0.
643	1000.	-580.	0.	0.
644	1000.	-570.	0.	0.
645	1000.	-560.	0.	0.
646	1000.	-550.	0.	0.
647	1000.	-540.	0.	0.
648	1000.	-530.	0.	0.
649	1000.	-520.	0.	0.
650	1000.	-510.	0.	0.
651	1000.	-500.	0.	0.
652	1000.	-490.	0.	0.
653	1000.	-480.	0.	0.
654	1000.	-470.	0.	0.
655	1000.	-460.	0.	0.
656	1000.	-450.	0.	0.
657	1000.	-440.	0.	0.
658	1000.	-430.	0.	0.
659	1000.	-420.	0.	0.
660	1000.	-410.	0.	0.
661	1000.	-400.	0.	0.
662	1000.	-390.	0.	0.
663	1000.	-380.	0.	0.
664	1000.	-370.	0.	0.
665	1000.	-360.	0.	0.
666	1000.	-350.	0.	0.
667	1000.	-340.	0.	0.
668	1000.	-330.	0.	0.
669	1000.	-320.	0.	0.
670	1000.	-310.	0.	0.
671	1000.	-300.	0.	0.
672	1000.	-290.	0.	0.
673	1000.	-280.	0.	0.
674	1000.	-270.	0.	0.
675	1000.	-260.	0.	0.
676	1000.	-250.	0.	0.
677	1000.	-240.	0.	0.
678	1000.	-230.	0.	0.
679	1000.	-220.	0.	0.
680	1000.	-210.	0.	0.
681	1000.	-200.	0.	0.
682	1000.	-190.	0.	0.
683	1000.	-180.	0.	0.
684	1000.	-170.	0.	0.
685	1000.	-160.	0.	0.
686	1000.	-150.	0.	0.
687	1000.	-140.	0.	0.
688	1000.	-130.	0.	0.
689	1000.	-120.	0.	0.
690	1000.	-110.	0.	0.
691	1000.	-100.	0.	0.
692	1000.	-90.	0.	0.
693	1000.	-80.	0.	0.
694	1000.	-70.	0.	0.
695	1000.	-60.	0.	0.
696	1000.	-50.	0.	0.
697	1000.	-40.	0.	0.
698	1000.	-30.	0.	0.
699	1000.	-20.	0.	0.
700	1000.	-10.	0.	0.
701	1000.	6.6613e-013	0.	0.
702	1000.	10.	0.	0.
703	1000.	20.	0.	0.
704	1000.	30.	0.	0.
705	1000.	40.	0.	0.
706	1000.	50.	0.	0.
707	1000.	60.	0.	0.
708	1000.	70.	0.	0.
709	1000.	80.	0.	0.
710	1000.	90.	0.	0.
711	1000.	100.	0.	0.
712	1000.	110.	0.	0.
713	1000.	120.	0.	0.
714	1000.	130.	0.	0.
715	1000.	140.	0.	0.
