Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
14396	-720.	350.	0.	-1.7636e-006
14397	-720.	360.	0.	1.8057e-006
14397	-720.	360.	0.	-1.8057e-006
14398	-720.	370.	0.	1.847e-006
14398	-720.	370.	0.	-1.847e-006
14399	-720.	380.	0.	1.8874e-006
14399	-720.	380.	0.	-1.8874e-006
14400	-720.	390.	0.	1.927e-006
14400	-720.	390.	0.	-1.927e-006
14401	-720.	400.	0.	1.9656e-006
14401	-720.	400.	0.	-1.9656e-006
14402	-720.	410.	0.	2.0033e-006
14402	-720.	410.	0.	-2.0033e-006
14403	-720.	430.	0.	2.0756e-006
14403	-720.	430.	0.	-2.0756e-006
14404	-720.	450.	0.	2.1435e-006
14404	-720.	450.	0.	-2.1435e-006
14405	-720.	470.	0.	2.2066e-006
14405	-720.	470.	0.	-2.2066e-006
14406	-719.99	490.01	0.	2.2646e-006
14406	-719.99	490.01	0.	-2.2646e-006
14407	-719.99	500.02	0.	2.2915e-006
14407	-719.99	500.02	0.	-2.2915e-006
14408	-719.98	510.03	0.	2.317e-006
14408	-719.98	510.03	0.	-2.317e-006
14409	-719.97	530.04	0.	2.3633e-006
14409	-719.97	530.04	0.	-2.3633e-006
14410	-719.98	550.04	0.	2.4029e-006
14410	-719.98	550.04	0.	-2.4029e-006
14411	-719.99	570.03	0.	2.4355e-006
14411	-719.99	570.03	0.	-2.4355e-006
14412	-720.	590.01	0.	2.4605e-006
14412	-720.	590.01	0.	-2.4605e-006
14413	-720.	610.	0.	2.4774e-006
14413	-720.	610.	0.	-2.4774e-006
14414	-720.	630.	0.	2.4855e-006
14414	-720.	630.	0.	-2.4855e-006
14415	-720.	650.	0.	2.4842e-006
14415	-720.	650.	0.	-2.4842e-006
14416	-720.	670.	0.	2.473e-006
14416	-720.	670.	0.	-2.473e-006
14417	-720.	690.	0.	2.451e-006
14417	-720.	690.	0.	-2.451e-006
14418	-720.	710.	0.	2.4176e-006
14418	-720.	710.	0.	-2.4176e-006
14419	-489.82	-720.03	0.	-2.264e-006
14419	-489.82	-720.03	0.	2.264e-006
14420	-690.	720.	0.	2.451e-006
14420	-690.	720.	0.	-2.451e-006
14421	-670.	720.	0.	2.473e-006
14421	-670.	720.	0.	-2.473e-006
14422	-650.	720.	0.	2.4842e-006
14422	-650.	720.	0.	-2.4842e-006
14423	-640.	720.	0.	2.4861e-006
14423	-640.	720.	0.	-2.4861e-006
14424	-630.	720.	0.	2.4855e-006
14424	-630.	720.	0.	-2.4855e-006
14425	-610.	720.	0.	2.4774e-006
14425	-610.	720.	0.	-2.4774e-006
14426	-590.	720.	0.	2.4605e-006
14426	-590.	720.	0.	-2.4605e-006
14427	-570.	720.	0.	2.4355e-006
14427	-570.	720.	0.	-2.4355e-006
14428	-550.	720.	0.	2.4028e-006
14428	-550.	720.	0.	-2.4028e-006
14429	-540.	720.	0.	2.3838e-006
14429	-540.	720.	0.	-2.3838e-006
14430	-530.	719.99	0.	2.3631e-006
14430	-530.	719.99	0.	-2.3631e-006
14431	-470.	720.	0.	2.2066e-006
14431	-470.	720.	0.	-2.2066e-006
14432	-450.	720.	0.	2.1435e-006
14432	-450.	720.	0.	-2.1435e-006
14433	-440.	720.	0.	2.1101e-006
14433	-440.	720.	0.	-2.1101e-006
14434	-430.	720.	0.	2.0756e-006
14434	-430.	720.	0.	-2.0756e-006
14435	-410.	720.	0.	2.0033e-006
14435	-410.	720.	0.	-2.0033e-006
14436	-390.	720.01	0.	1.927e-006
14436	-390.	720.01	0.	-1.927e-006
14437	-369.99	720.04	0.	1.8468e-006
14437	-369.99	720.04	0.	-1.8468e-006
14438	-359.98	720.08	0.	1.8054e-006
14438	-359.98	720.08	0.	-1.8054e-006
14439	-349.97	720.12	0.	1.7632e-006
14439	-349.97	720.12	0.	-1.7632e-006
14440	-339.96	720.15	0.	1.7203e-006
14440	-339.96	720.15	0.	-1.7203e-006
14441	-329.96	720.15	0.	1.6766e-006
14441	-329.96	720.15	0.	-1.6766e-006
14442	-319.96	720.12	0.	1.6324e-006
14442	-319.96	720.12	0.	-1.6324e-006
14443	-309.96	720.09	0.	1.5875e-006
14443	-309.96	720.09	0.	-1.5875e-006
14444	-289.97	720.03	0.	1.4958e-006
14444	-289.97	720.03	0.	-1.4958e-006
14445	-269.98	720.01	0.	1.4017e-006
14445	-269.98	720.01	0.	-1.4017e-006
14446	-249.98	720.	0.	1.3055e-006
14446	-249.98	720.	0.	-1.3055e-006
14447	-239.99	720.	0.	1.2567e-006
14447	-239.99	720.	0.	-1.2567e-006
14448	-229.99	720.	0.	1.2074e-006
14448	-229.99	720.	0.	-1.2074e-006
14449	-209.99	720.	0.	1.1077e-006
14449	-209.99	720.	0.	-1.1077e-006
14450	-190.	720.	0.	1.0064e-006
14450	-190.	720.	0.	-1.0064e-006
14451	-180.	720.	0.	9.5528e-007
14451	-180.	720.	0.	-9.5528e-007
14452	-170.	720.	0.	9.0383e-007
14452	-170.	720.	0.	-9.0383e-007
14453	-160.	720.	0.	8.5209e-007
14453	-160.	720.	0.	-8.5209e-007
14454	-150.	720.	0.	8.0009e-007
14454	-150.	720.	0.	-8.0009e-007
14455	-140.	720.	0.	7.4783e-007
14455	-140.	720.	0.	-7.4783e-007
14456	-130.	720.	0.	6.9535e-007
14456	-130.	720.	0.	-6.9535e-007
14457	-110.	720.	0.	5.8977e-007
14457	-110.	720.	0.	-5.8977e-007
14458	-90.	720.	0.	4.8348e-007
14458	-90.	720.	0.	-4.8348e-007
14459	-80.	720.	0.	4.3011e-007
14459	-80.	720.	0.	-4.3011e-007
14460	-70.	720.	0.	3.7662e-007
14460	-70.	720.	0.	-3.7662e-007
14461	-50.	720.	0.	2.6932e-007
14461	-50.	720.	0.	-2.6932e-007
14462	-29.999	720.	0.	1.6171e-007
14462	-29.999	720.	0.	-1.6171e-007
14463	-19.997	720.	0.	1.0782e-007
14463	-19.997	720.	0.	-1.0782e-007
14464	-9.9927	720.01	0.	5.3887e-008
14464	-9.9927	720.01	0.	-5.3887e-008
14465	10.028	720.08	0.	-5.4076e-008
14465	10.028	720.08	0.	5.4076e-008
14466	50.108	720.32	0.	-2.6979e-007
14466	50.108	720.32	0.	2.6979e-007
14467	70.145	720.3	0.	-3.7724e-007
14467	70.145	720.3	0.	3.7724e-007
14468	90.158	720.24	0.	-4.8416e-007
14468	90.158	720.24	0.	4.8416e-007
14469	110.14	720.23	0.	-5.9032e-007
14469	110.14	720.23	0.	5.9032e-007
14470	130.11	720.33	0.	-6.9563e-007
14470	130.11	720.33	0.	6.9563e-007
14471	140.1	720.36	0.	-7.4798e-007
14471	140.1	720.36	0.	7.4798e-007
14472	150.08	720.36	0.	-8.0014e-007
14472	150.08	720.36	0.	8.0014e-007
14473	170.06	720.23	0.	-9.0386e-007
14473	170.06	720.23	0.	9.0386e-007
14474	180.05	720.15	0.	-9.5538e-007
14474	180.05	720.15	0.	9.5538e-007
14475	190.06	720.1	0.	-1.0066e-006
14475	190.06	720.1	0.	1.0066e-006
14476	210.12	720.15	0.	-1.108e-006
14476	210.12	720.15	0.	1.108e-006
14477	230.19	720.37	0.	-1.2078e-006
14477	230.19	720.37	0.	1.2078e-006
14478	250.25	720.58	0.	-1.3058e-006
14478	250.25	720.58	0.	1.3058e-006
14479	260.24	720.59	0.	-1.3541e-006
14479	260.24	720.59	0.	1.3541e-006
14480	270.22	720.51	0.	-1.402e-006
14480	270.22	720.51	0.	1.402e-006
