Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
11454	60.	-630.	0.	7.1221e-007
11455	50.	-630.	0.	-7.1321e-007
11455	50.	-630.	0.	7.1321e-007
11456	40.	-630.	0.	-7.1402e-007
11456	40.	-630.	0.	7.1402e-007
11457	30.	-630.	0.	-7.1465e-007
11457	30.	-630.	0.	7.1465e-007
11458	20.	-630.	0.	-7.151e-007
11458	20.	-630.	0.	7.151e-007
11459	10.	-630.	0.	-7.1537e-007
11459	10.	-630.	0.	7.1537e-007
11460	-10.	-630.	0.	-7.1537e-007
11460	-10.	-630.	0.	7.1537e-007
11461	-20.	-630.	0.	-7.151e-007
11461	-20.	-630.	0.	7.151e-007
11462	-50.	-630.	0.	-7.1321e-007
11462	-50.	-630.	0.	7.1321e-007
11463	-70.	-630.	0.	-7.1103e-007
11463	-70.	-630.	0.	7.1103e-007
11464	-80.	-630.	0.	-7.0966e-007
11464	-80.	-630.	0.	7.0966e-007
11465	-90.	-630.	0.	-7.081e-007
11465	-90.	-630.	0.	7.081e-007
11466	-100.	-630.	0.	-7.0634e-007
11466	-100.	-630.	0.	7.0634e-007
11467	-110.	-630.	0.	-7.0437e-007
11467	-110.	-630.	0.	7.0437e-007
11468	-120.	-630.	0.	-7.0221e-007
11468	-120.	-630.	0.	7.0221e-007
11469	-130.	-630.	0.	-6.9983e-007
11469	-130.	-630.	0.	6.9983e-007
11470	-140.	-630.	0.	-6.9724e-007
11470	-140.	-630.	0.	6.9724e-007
11471	-150.	-630.	0.	-6.9443e-007
11471	-150.	-630.	0.	6.9443e-007
11472	-170.	-630.	0.	-6.8811e-007
11472	-170.	-630.	0.	6.8811e-007
11473	-180.	-630.	0.	-6.8459e-007
11473	-180.	-630.	0.	6.8459e-007
11474	-190.	-630.	0.	-6.8082e-007
11474	-190.	-630.	0.	6.8082e-007
11475	-230.	-630.	0.	-6.6307e-007
11475	-230.	-630.	0.	6.6307e-007
11476	-250.	-630.	0.	-6.5245e-007
11476	-250.	-630.	0.	6.5245e-007
11477	-270.	-630.	0.	-6.4055e-007
11477	-270.	-630.	0.	6.4055e-007
11478	-290.	-630.	0.	-6.2728e-007
11478	-290.	-630.	0.	6.2728e-007
11479	-310.	-630.	0.	-6.1252e-007
11479	-310.	-630.	0.	6.1252e-007
11480	-320.	-630.	0.	-6.0455e-007
11480	-320.	-630.	0.	6.0455e-007
11481	-340.	-630.	0.	-5.8735e-007
11481	-340.	-630.	0.	5.8735e-007
11482	-350.	-630.	0.	-5.7808e-007
11482	-350.	-630.	0.	5.7808e-007
11483	-360.	-630.	0.	-5.6835e-007
11483	-360.	-630.	0.	5.6835e-007
11484	-370.	-630.	0.	-5.5813e-007
11484	-370.	-630.	0.	5.5813e-007
11485	-380.	-630.	0.	-5.4742e-007
